Feature,Target,Profile,Trace,Command
extra-plugins,x86_64-unknown-linux-gnu,dev,coverage,cargo build --target x86_64-unknown-linux-gnu --features extra-plugins
extra-plugins,x86_64-unknown-linux-gnu,release,basic,cargo build --target x86_64-unknown-linux-gnu --features extra-plugins --release
extra-plugins,x86_64-unknown-linux-gnu,release,strace,cargo build --target x86_64-unknown-linux-gnu --features extra-plugins --release
extra-plugins,x86_64-unknown-linux-gnu,release,perf,cargo build --target x86_64-unknown-linux-gnu --features extra-plugins --release
extra-plugins,x86_64-unknown-linux-gnu,release,coverage,cargo build --target x86_64-unknown-linux-gnu --features extra-plugins --release
extra-plugins,aarch64-unknown-linux-gnu,dev,basic,cargo build --target aarch64-unknown-linux-gnu --features extra-plugins
extra-plugins,aarch64-unknown-linux-gnu,dev,strace,cargo build --target aarch64-unknown-linux-gnu --features extra-plugins
extra-plugins,aarch64-unknown-linux-gnu,dev,perf,cargo build --target aarch64-unknown-linux-gnu --features extra-plugins
extra-plugins,aarch64-unknown-linux-gnu,dev,coverage,cargo build --target aarch64-unknown-linux-gnu --features extra-plugins
extra-plugins,aarch64-unknown-linux-gnu,release,basic,cargo build --target aarch64-unknown-linux-gnu --features extra-plugins --release
extra-plugins,aarch64-unknown-linux-gnu,release,strace,cargo build --target aarch64-unknown-linux-gnu --features extra-plugins --release
extra-plugins,aarch64-unknown-linux-gnu,release,perf,cargo build --target aarch64-unknown-linux-gnu --features extra-plugins --release
extra-plugins,aarch64-unknown-linux-gnu,release,coverage,cargo build --target aarch64-unknown-linux-gnu --features extra-plugins --release
notebooklm,x86_64-unknown-linux-gnu,dev,basic,cargo build --target x86_64-unknown-linux-gnu --features notebooklm
notebooklm,x86_64-unknown-linux-gnu,dev,strace,cargo build --target x86_64-unknown-linux-gnu --features notebooklm
notebooklm,x86_64-unknown-linux-gnu,dev,perf,cargo build --target x86_64-unknown-linux-gnu --features notebooklm
notebooklm,x86_64-unknown-linux-gnu,dev,coverage,cargo build --target x86_64-unknown-linux-gnu --features notebooklm
notebooklm,x86_64-unknown-linux-gnu,release,basic,cargo build --target x86_64-unknown-linux-gnu --features notebooklm --release
notebooklm,x86_64-unknown-linux-gnu,release,strace,cargo build --target x86_64-unknown-linux-gnu --features notebooklm --release
notebooklm,x86_64-unknown-linux-gnu,release,perf,cargo build --target x86_64-unknown-linux-gnu --features notebooklm --release
notebooklm,x86_64-unknown-linux-gnu,release,coverage,cargo build --target x86_64-unknown-linux-gnu --features notebooklm --release
notebooklm,aarch64-unknown-linux-gnu,dev,basic,cargo build --target aarch64-unknown-linux-gnu --features notebooklm
notebooklm,aarch64-unknown-linux-gnu,dev,strace,cargo build --target aarch64-unknown-linux-gnu --features notebooklm
notebooklm,aarch64-unknown-linux-gnu,dev,perf,cargo build --target aarch64-unknown-linux-gnu --features notebooklm
